perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,0.8863195332209928,2.0618911029674165,1.4741053180942045
2,0.48424631554169295,0.7065568658333612,0.5954015906875271
3,0.27737018006180925,0.3625646228785133,0.3199674014701613
4,0.18648945028914227,0.23133262866085724,0.20891103947499975
5,0.10861646671616387,0.13107252106514922,0.11984449389065654
6,0.06352122154228709,0.07415156703953593,0.06883639429091151
7,0.04680783957354008,0.05619034600154346,0.05149909278754177
8,0.04017009602477207,0.042311677422426176,0.04124088672359912
9,0.018369295741594825,0.0181842461186794,0.01827677093013711
10,0.0,0.0,0.0
11,0.016794412022244742,0.01658692999068105,0.016690671006462897
12,0.08001153277482934,0.11291966915868346,0.0964656009667564
13,0.031027234802181256,0.02975014223401531,0.030388688518098284
14,0.05041925845106845,0.04772520404856138,0.04907223124981491
15,0.06223807164950382,0.05598394997899897,0.059111010814251394
16,0.06338509708470691,0.05744280340690721,0.06041395024580706
17,0.08348344558197883,0.07752343827113478,0.08050344192655681
18,0.1243890433728714,0.11551524701333062,0.11995214519310102
19,0.11583046044247264,0.10518962537822533,0.110510042910349
20,0.16272093201271204,0.14877014688597218,0.1557455394493421
21,0.19259159432983447,0.17593884070913463,0.18426521751948455
22,0.19571026980961806,0.1760569640941157,0.1858836169518669
23,0.23050361908243047,0.21029779840422924,0.22040070874332984
24,0.27449280906301865,0.2517569702769346,0.2631248896699766
25,0.28732899470267576,0.2629060506433172,0.2751175226729965
26,0.3309290936299516,0.3021286945640287,0.31652889409699014
27,0.3429680224202559,0.3096307981235581,0.326299410271907
28,0.37401584383603736,0.34125655306554326,0.3576361984507903
29,0.4218185288591358,0.38974796293404895,0.40578324589659237
30,0.40673602588555147,0.3726104976592709,0.3896732617724112
31,0.4582821529875564,0.4216206714970987,0.4399514122423276
32,0.4846669861966779,0.44699048848553524,0.4658287373411066
33,0.4754753872675723,0.42888907269861165,0.452182229983092
