perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,0.4794053562087745,0.9586649337030426,0.7190351449559086
2,0.24171576067607575,0.3518736951769633,0.2967947279265195
3,0.08795335304290397,0.11283330228068258,0.10039332766179328
4,0.04264624006789532,0.04978128755384016,0.04621376381086774
5,0.0,0.0,0.0
6,0.02636160953194131,0.025945925394551695,0.026153767463246505
7,0.04764853804482956,0.043897463621156346,0.045773000832992954
8,0.06434357222092646,0.05978096856251695,0.062062270391721706
9,0.0827845175055902,0.07480656763057231,0.07879554256808124
10,0.1167203657863414,0.10516045245993229,0.11094040912313685
11,0.13449386868947888,0.11749533595821174,0.1259946023238453
12,0.17722938717845566,0.15240787984617457,0.16481863351231513
13,0.1955234191033608,0.16963522506855988,0.18257932208596034
14,0.2395040113287868,0.20248278703911615,0.22099339918395147
15,0.2797272226835066,0.238931604233255,0.2593294134583808
16,0.28873774268770913,0.24362332508110107,0.2661805338844051
17,0.3161323431020807,0.26594527705314736,0.291038810077614
18,0.40887257623217244,0.35359792342338053,0.38123524982777646
19,0.46524817871515267,0.41002077832278727,0.43763447851896997
20,0.49092586185812614,0.43136272369805506,0.4611442927780906
21,0.5266268790467441,0.46043305302198034,0.4935299660343622
22,0.5564858112854175,0.4833433326653302,0.5199145719753738
23,0.5931707154375483,0.5108295673643972,0.5520001414009728
24,0.6309180872222568,0.5444288660050869,0.5876734766136719
25,0.667497003609353,0.5781227471588749,0.622809875384114
26,0.7025006739236082,0.6066570678753143,0.6545788708994612
27,0.7381516136632983,0.6365637511290967,0.6873576823961975
28,0.7576379974931127,0.656055558755262,0.7068467781241874
29,0.8163520292541848,0.7135097771916721,0.7649309032229284
30,0.8507655260675112,0.7436166388279848,0.797191082447748
31,0.8750944383663484,0.7648525758395692,0.8199735071029588
32,0.9004864718102882,0.7852687493403041,0.8428776105752962
33,0.9299980436462864,0.8091879082793499,0.8695929759628181
