perplexity,chain,chain_earlystop,normal,normal_earlystop
1,1.5885419845581055,1.5723292827606201,1.8064382076263428,1.7401461601257324
2,1.363187313079834,1.361128568649292,1.2905514240264893,1.291494369506836
3,1.3051319122314453,0.7826540470123291,1.2559921741485596,0.8444669246673584
4,1.2533323764801025,0.6353964805603027,1.2680387496948242,0.6457643508911133
5,1.2596206665039062,0.4241187572479248,1.2371761798858643,0.5992941856384277
6,1.273608922958374,0.6290693283081055,1.2425105571746826,0.5972740650177002
7,1.2306880950927734,0.2511310577392578,1.1948513984680176,0.5174820423126221
8,1.2728297710418701,0.22244596481323242,1.2418272495269775,0.5108299255371094
9,1.252032995223999,0.2462925910949707,1.2436528205871582,0.5045795440673828
10,1.2632255554199219,0.2362961769104004,1.2630131244659424,0.5175814628601074
11,1.256016492843628,0.20961427688598633,1.2442848682403564,0.5743982791900635
12,1.234647274017334,0.20860052108764648,1.2682795524597168,0.5203409194946289
13,1.213472604751587,0.21842670440673828,1.2536182403564453,0.4866316318511963
14,1.2369847297668457,0.20701909065246582,1.2853672504425049,0.5553984642028809
15,1.245112419128418,0.18685531616210938,1.293578863143921,0.49120140075683594
16,1.309030532836914,0.17598819732666016,1.2894816398620605,0.586143970489502
17,1.2398998737335205,0.15538668632507324,1.3140933513641357,0.5216562747955322
18,1.309502363204956,0.16423678398132324,1.33237624168396,0.4965217113494873
19,1.2637062072753906,0.16652798652648926,1.3607890605926514,0.48855018615722656
20,1.2762720584869385,0.15177488327026367,1.3059005737304688,0.5019798278808594
21,1.2927803993225098,0.15753531455993652,1.303884506225586,0.49321770668029785
22,1.317413330078125,0.14285993576049805,1.3227043151855469,0.5034067630767822
23,1.2969145774841309,0.14359736442565918,1.3256499767303467,0.48873114585876465
24,1.280318260192871,0.14611387252807617,1.3385820388793945,0.48830580711364746
25,1.295762062072754,0.1377098560333252,1.3302762508392334,0.5279254913330078
26,1.3653931617736816,0.1345207691192627,1.3585882186889648,0.5208714008331299
27,1.3335530757904053,0.1247715950012207,1.3804869651794434,0.4986889362335205
28,1.346815824508667,0.13689851760864258,1.358064889907837,0.5268256664276123
29,1.3351824283599854,0.15352582931518555,1.3906371593475342,0.5615732669830322
30,1.38309645652771,0.12612652778625488,1.388423204421997,0.529118537902832
31,1.353346347808838,0.12163305282592773,1.368821382522583,0.538682222366333
32,1.3677711486816406,0.1229848861694336,1.387547492980957,0.5185391902923584
