perplexity,normal,normal_earlystop,chain,chain_earlystop
1,3.3582944827685517,3.3582944827685517,1.360635624485823,1.3683426436039392
2,1.8842742146981464,1.8842742146981464,1.0696187022214978,1.10094032874959
3,1.3556849116761385,1.3556849116761385,0.9280188874847614,0.9339506843381032
4,1.108060656421279,1.108060656421279,0.8200836382633383,0.8007437454190532
5,0.9858602975818214,0.9858602975818214,0.6978976131171432,0.6910047988023046
6,0.8904695567030518,0.8904695567030518,0.6182985890116948,0.6401126644600597
7,0.8117203735294368,0.8117203735294368,0.5755443665604981,0.5785451183806987
8,0.7356462325781508,0.7356462325781508,0.5352942228581671,0.5520639167433466
9,0.6836152133730989,0.6836152133730989,0.5072473439963731,0.501610618775451
10,0.6280557109572735,0.6280557109572735,0.4642863364250282,0.4591309682103099
11,0.6133943544875669,0.6133943544875669,0.4330030313830197,0.4330949507389075
12,0.5670051840282219,0.5670051840282219,0.3939281162960131,0.4065664337390623
13,0.5424692992331608,0.5424692992331608,0.3830180700079664,0.3940813425137682
14,0.5178498419259947,0.5178498419259947,0.367619233366402,0.378467094018758
15,0.5041118449971205,0.5041118449971205,0.3600546667065409,0.3555437343802921
16,0.4610047117034477,0.4610047117034477,0.33248631727672623,0.327477925491549
17,0.4564055002322944,0.4564055002322944,0.3197386107777699,0.31416356250252986
18,0.4420619680730523,0.4420619680730523,0.28101433457035185,0.2936743911303065
19,0.4162533393822476,0.4162533393822476,0.27593843188670825,0.28825044796940713
20,0.4104079684160062,0.4104079684160062,0.25836548390121306,0.2638135798759331
21,0.3901542746824472,0.3901542746824472,0.26180773596480456,0.25044695643451603
22,0.4005498438540565,0.4005498438540565,0.2406908778655282,0.23296325408395535
23,0.36190676686726136,0.36190676686726136,0.24382940437188,0.2292139011898137
24,0.3544235325131688,0.3544235325131688,0.21598995753804331,0.22311553871504264
25,0.3553096471803133,0.3553096471803133,0.2178150529509061,0.22015033841414516
26,0.3313344625988813,0.3313344625988813,0.1982081977520517,0.19597512736682468
27,0.3233810341050393,0.3233810341050393,0.1832609398848318,0.18426697594604435
28,0.3291288672449519,0.3291288672449519,0.17975646043727492,0.17643055298079033
29,0.3195880106271418,0.3195880106271418,0.16322623210453593,0.16890598723927985
30,0.3268209504577839,0.3268209504577839,0.1560392837590091,0.1498988260678551
31,0.3054552510621997,0.3054552510621997,0.14293837824939135,0.1438150808061277
32,0.3144557516029449,0.3144557516029449,0.13946038166662034,0.1368946583870003
33,0.299041502036357,0.299041502036357,0.13553419227523714,0.13589515364976607
34,0.28018105718025144,0.28018105718025144,0.13021852219005048,0.13543963132422615
35,0.2743711286731854,0.2743711286731854,0.1190569622904387,0.1327733162171918
36,0.2724787132740283,0.2724787132740283,0.11970480201448327,0.12109254767218285
37,0.2820243348408147,0.2820243348408147,0.10718627117259524,0.11593027619829002
38,0.2521545197874592,0.2521545197874592,0.10443133482194948,0.11129654327653404
39,0.2468150769247268,0.2468150769247268,0.09542409300362244,0.09206906510894676
40,0.24627431148757084,0.24627431148757084,0.09543236856300727,0.08564680409299458
41,0.2290043141622429,0.2290043141622429,0.09249851514396806,0.08668638349561701
42,0.24776270442431886,0.24776270442431886,0.0825023361308116,0.08110599741537172
43,0.22140546435560446,0.22140546435560446,0.07777537839597579,0.07468584231334348
44,0.2235074527257382,0.2235074527257382,0.07240282537580173,0.07369953206693336
45,0.2451356189299969,0.2451356189299969,0.0770692672915862,0.06908337523855185
46,0.2354793067249049,0.2354793067249049,0.06554442618732928,0.0634542911078625
47,0.21367201641471786,0.21367201641471786,0.061576552027686186,0.07349093181568643
48,0.2286889667747164,0.2286889667747164,0.0682194102575927,0.06290265765783297
49,0.2163853983094131,0.2163853983094131,0.06101785276596635,0.056668233072009376
50,0.20517978884025048,0.20517978884025048,0.06159074341553768,0.05693144919313579
51,0.20811291612556052,0.20811291612556052,0.06093197871333296,0.05437161380025956
52,0.2094483033755603,0.2094483033755603,0.037433232500492464,0.04032250402348502
53,0.2104706934768464,0.2104706934768464,0.03835152943772276,0.04317991013706937
54,0.19560258710272305,0.19560258710272305,0.03460273072269436,0.038036306391658704
55,0.16936760692624794,0.16936760692624794,0.036685096543187516,0.04020364293408946
56,0.17658090256485234,0.17658090256485234,0.04325718555141593,0.03857293294102505
57,0.19800802886966112,0.19800802886966112,0.0370125845289859,0.03712033740954786
58,0.20040454441030964,0.20040454441030964,0.037889709932188466,0.03220889653085314
59,0.21933945355285106,0.21933945355285106,0.02666755662365295,0.027290054036783813
60,0.18966926964313507,0.18966926964313507,0.031651540111643874,0.029680307930901033
61,0.19501239544017648,0.19501239544017648,0.024643135110245712,0.026473493916225044
62,0.17766985736325472,0.17766985736325472,0.025935247551798563,0.022875087182562263
63,0.19049431777126252,0.19049431777126252,0.019629674530683087,0.02454221018248045
64,0.18931836761258614,0.18931836761258614,0.01920902157291339,0.02063610903460222
65,0.1927432191435809,0.1927432191435809,0.021116320133416404,0.021685130879521668
66,0.18279169839506254,0.18279169839506254,0.018118216342550144,0.019278028288822573
67,0.1947065198083172,0.1947065198083172,0.0180356356114854,0.019163635010268902
68,0.16600703516284895,0.16600703516284895,0.0171632679984182,0.016581529192478687
69,0.1532985139844467,0.1532985139844467,0.016158258331880213,0.0159400507254934
70,0.1675029564511989,0.1675029564511989,0.012970624681371685,0.01395412857295644
71,0.1568780424001862,0.1568780424001862,0.013372919152484435,0.013672793389090769
72,0.13648665375169186,0.13648665375169186,0.014265654238728819,0.01582550589925704
73,0.08115064793239159,0.08115064793239159,0.010504730583096485,0.01215220163259364
74,0.0884216563814627,0.0884216563814627,0.014197002970454285,0.013884877100180416
75,0.0,0.0,0.0,0.0
76,0.08683013469805427,0.08683013469805427,0.012218854435255859,0.01169391710274793
77,0.09225237738416513,0.09225237738416513,0.011435994602249491,0.010371058012310246
78,0.07811542687744807,0.07811542687744807,0.01113491999361463,0.011059576621449728
79,0.1089546057025652,0.1089546057025652,0.01021364657617746,0.009219690807761496
80,0.1018592849071719,0.1018592849071719,0.012185346956416359,0.010256330414216754
81,0.09101058071673462,0.09101058071673462,0.010757856145088509,0.012353559913002785
82,0.09954053295330012,0.09954053295330012,0.010353165872084624,0.01251171888083204
83,0.0779032631091925,0.0779032631091925,0.01017945334614705,0.012560834531358669
84,0.08805896971374548,0.08805896971374548,0.008039013319869712,0.008660451935416912
85,0.07689408527386653,0.07689408527386653,0.010864428739311595,0.008183361087741871
86,0.10145515817756127,0.10145515817756127,0.009272395883659816,0.012478752762528331
87,0.1041641051246253,0.1041641051246253,0.011314207346540015,0.01194479068153092
88,0.08737759907261583,0.08737759907261583,0.011987579854305305,0.012159369063544631
89,0.11926627358560975,0.11926627358560975,0.014822639358692347,0.01213278380288785
90,0.1205088925725857,0.1205088925725857,0.012243961050681323,0.01123367787282423
91,0.11855950899769628,0.11855950899769628,0.013497343594611636,0.013063240897624234
92,0.10668150839994434,0.10668150839994434,0.013589026589252285,0.012315660220223349
93,0.10938347808914747,0.10938347808914747,0.015092011724238354,0.013468570281820216
94,0.11265059398562223,0.11265059398562223,0.015671965128217738,0.01429019894463095
95,0.14815679112823255,0.14815679112823255,0.015851122753244892,0.014859784218921352
96,0.16265693377013485,0.16265693377013485,0.016165863781610418,0.016029040531751252
97,0.14511790396164626,0.14511790396164626,0.017531860771090466,0.015561246150427324
98,0.13104275806676627,0.13104275806676627,0.018289851231865613,0.016010393344994208
99,0.13807667181650876,0.13807667181650876,0.019370498511146653,0.016565765161805118
100,0.16852406068333994,0.16852406068333994,0.0209975169193148,0.01670428738405133
101,0.1446545227902556,0.1446545227902556,0.02201636933613104,0.017192885240503383
102,0.15755666705240945,0.15755666705240945,0.023481416185390118,0.02079377703936816
103,0.1617347684689283,0.1617347684689283,0.0228608735507688,0.01700999107267075
104,0.16758211314321028,0.16758211314321028,0.026856129086190617,0.020439099988248298
105,0.17721612218621868,0.17721612218621868,0.027319180834985114,0.018893498449271844
106,0.16707286030369844,0.16707286030369844,0.031261277788565606,0.02237222195763436
107,0.16750609388954066,0.16750609388954066,0.030368016573419268,0.023943610458940563
108,0.14486486746119415,0.14486486746119415,0.03405809072581304,0.024705252273612296
109,0.12533933328874586,0.12533933328874586,0.03486044332282587,0.027554326090710343
110,0.1677599049127431,0.1677599049127431,0.03232802201872189,0.029913271925896174
111,0.17314152173838954,0.17314152173838954,0.03671860330085798,0.030773563211228837
112,0.1879340397202771,0.1879340397202771,0.03888774293420174,0.03069570658470269
113,0.1955735839785956,0.1955735839785956,0.039357409845936574,0.030208086067338942
114,0.16386998832790708,0.16386998832790708,0.03820670452725465,0.032043065922732775
115,0.1869183156734493,0.1869183156734493,0.03831535567083935,0.03206083903151732
116,0.16179090116876044,0.16179090116876044,0.04002973740671479,0.034210581157085834
117,0.1542589806574576,0.1542589806574576,0.04249087412500786,0.03472389275132614
118,0.1693330652249758,0.1693330652249758,0.04410413027849939,0.03617252678313447
119,0.1976513506740125,0.1976513506740125,0.042689340152218085,0.03607704479689736
120,0.2041553548981308,0.2041553548981308,0.042923404348500685,0.03689830976007838
121,0.19874604756706307,0.19874604756706307,0.04492110958238736,0.036902675149898666
122,0.1875789270961488,0.1875789270961488,0.04398202012531012,0.0369229111038285
123,0.1790514822985548,0.1790514822985548,0.04592078875158788,0.039470240750601814
124,0.16481994174021158,0.16481994174021158,0.046560100927436114,0.041035570862370335
125,0.18071268711414548,0.18071268711414548,0.048530115309348726,0.04578299653055733
126,0.17117277710565826,0.17117277710565826,0.048736154811710015,0.046590330074183874
127,0.17287484031058886,0.17287484031058886,0.05127882931487168,0.04905817885360024
128,0.20255063670893453,0.20255063670893453,0.051951780354034215,0.0496929569946788
129,0.18931992381942644,0.18931992381942644,0.05372687892648178,0.048915715060022194
130,0.17517761307672428,0.17517761307672428,0.05332921006292197,0.05147086194143998
131,0.17149562555192388,0.17149562555192388,0.05412400353155927,0.050945818909214007
132,0.19522179973995266,0.19522179973995266,0.055446338938139834,0.05268649268944165
133,0.18423821198299595,0.18423821198299595,0.05649534954256737,0.05441604279029096
134,0.19647490885209126,0.19647490885209126,0.0573196446971704,0.054255773886643335
135,0.19113695826969748,0.19113695826969748,0.05872444176234505,0.05592317302298901
136,0.18115227479052476,0.18115227479052476,0.0598530672608775,0.05688263581552724
137,0.18134988869536367,0.18134988869536367,0.061035704073113074,0.0552127934313629
138,0.1822661558805922,0.1822661558805922,0.06054316626612333,0.05894468493649035
139,0.2072362229392083,0.2072362229392083,0.06123690159351972,0.05876899833631531
140,0.19770572031296985,0.19770572031296985,0.06268444509634158,0.059583533657140225
141,0.19233393294729484,0.19233393294729484,0.06420356065402685,0.06127159741355096
142,0.22732101800402854,0.22732101800402854,0.06338315628400659,0.0618777747704831
143,0.20551663284647054,0.20551663284647054,0.06330391090429333,0.062053990803125535
144,0.2063510171045439,0.2063510171045439,0.06446897745400447,0.06068136621546314
145,0.1921598215702412,0.1921598215702412,0.06736561305450102,0.0617054344250759
146,0.20368033556615345,0.20368033556615345,0.06688019278652703,0.06203392178039323
147,0.2041977454572424,0.2041977454572424,0.06687543249749645,0.06300376573540682
148,0.21566516036072966,0.21566516036072966,0.07085031845970861,0.06427828788785843
149,0.22155592281467434,0.22155592281467434,0.06920058630395816,0.06461024343428046
150,0.20484176369002288,0.20484176369002288,0.0695207656019507,0.06592712968610846
151,0.20822972918782984,0.20822972918782984,0.07216812328901198,0.06564392310307035
152,0.21623145862310947,0.21623145862310947,0.0766529963739486,0.06780672962501243
153,0.2226930494856404,0.2226930494856404,0.07813220748164174,0.06677084439980598
154,0.2291881418790327,0.2291881418790327,0.07409840057594662,0.06885621107875292
155,0.2131274021784248,0.2131274021784248,0.07938785539385954,0.06859799806935106
156,0.231236336978779,0.231236336978779,0.07998303557193387,0.07034443342135083
157,0.21023948740528187,0.21023948740528187,0.0817296726185779,0.06998450167930527
158,0.17116425707092486,0.17116425707092486,0.0825571929145996,0.06962826138779447
159,0.20839219753977392,0.20839219753977392,0.08339081545113555,0.0720480678869745
160,0.22367716836033152,0.22367716836033152,0.08384069425340793,0.07283097470666705
161,0.21300276882621447,0.21300276882621447,0.08473041007513478,0.07199915812635918
162,0.2205305534640284,0.2205305534640284,0.08840460891344942,0.07288780442487516
163,0.2414917100268254,0.2414917100268254,0.08684314200794672,0.0727692247609297
164,0.2418843987444639,0.2418843987444639,0.08970259166947113,0.07389881993430583
165,0.24913952779855894,0.24913952779855894,0.08914316670243022,0.07410925526089475
166,0.19784917623674975,0.19784917623674975,0.09216908449855124,0.07477688644119282
167,0.1974590579246728,0.1974590579246728,0.09226281613097756,0.07605593213737766
168,0.2137580667071764,0.2137580667071764,0.09296110692949434,0.0768525921650395
169,0.2200980411364616,0.2200980411364616,0.09269646524627034,0.07767398847046783
170,0.23514266577020346,0.23514266577020346,0.09633837324575233,0.07946399482803014
171,0.2424137600154165,0.2424137600154165,0.0954142945648704,0.08091469853945273
172,0.21224529417514654,0.21224529417514654,0.09919608764808004,0.08003537788282
173,0.23164078643584585,0.23164078643584585,0.09964844225509073,0.08250162852014988
174,0.2465972507336584,0.2465972507336584,0.1034155371586312,0.08113636138628172
175,0.22040645920659732,0.22040645920659732,0.10011466884338233,0.0861729098912865
176,0.2370789672979393,0.2370789672979393,0.10223088524876807,0.08608445471389373
177,0.23864221637901686,0.23864221637901686,0.10471025917272936,0.08777146192864607
178,0.2347206786690419,0.2347206786690419,0.10429057308668507,0.08660861808678656
179,0.24980667905134685,0.24980667905134685,0.10741383614792448,0.08702578126780658
180,0.23991122211765584,0.2392226638108222,0.10930641845708683,0.08811208715707639
181,0.2367042264102545,0.2367042264102545,0.11148593390279747,0.09187298004509788
182,0.2542221629113969,0.2542221629113969,0.10890813651899728,0.09577243900070974
183,0.2413591089508027,0.2413591089508027,0.1110780966986851,0.0938974440577605
184,0.2447701625271403,0.2447701625271403,0.11177267996392352,0.0967361808987817
185,0.2610157907769072,0.2610157907769072,0.11375012137250425,0.09922225401491293
186,0.23935287051410714,0.23935287051410714,0.11144905961296832,0.1008660065899661
187,0.2471611096069808,0.2471611096069808,0.11445688746599708,0.10391033551111087
188,0.24909670289273794,0.24909670289273794,0.11370257761773528,0.10339232350686772
189,0.2426081993033945,0.2426081993033945,0.11507294588284495,0.10159405788064872
190,0.2728349034647635,0.2728349034647635,0.11020130385112653,0.10870897025587388
191,0.2707572452669618,0.2707572452669618,0.1167904170970573,0.11014458593024562
192,0.2749700469229505,0.2749700469229505,0.11613381694459332,0.10298436712294637
193,0.2495620306482192,0.2495620306482192,0.12099889078162612,0.11017858541805904
194,0.274469700962443,0.274469700962443,0.11137243742338276,0.10712315972182668
195,0.24913965184251016,0.24913965184251016,0.11438979488205755,0.11195935940430037
196,0.26949966924033725,0.26949966924033725,0.11539540164091155,0.10943315827450456
197,0.2779199976768584,0.2779199976768584,0.1158590470503156,0.11347126796755233
198,0.2616108317956751,0.2616745655036759,0.11801097802767453,0.11482315541827808
199,0.2614211689099953,0.2614211689099953,0.11713976234372422,0.11701918458843236
200,0.2872439996228875,0.2872439996228875,0.11883614293911925,0.11812282834040648
201,0.2598478158948978,0.2598478158948978,0.12004973871952487,0.11828307759588502
202,0.2784479328666665,0.2784479328666665,0.11811776966859452,0.11923353536428108
203,0.27027799400133473,0.27027799400133473,0.12141542096750295,0.12015876944172832
204,0.3285204888639712,0.3285204888639712,0.12299043825406132,0.12268988609528905
205,0.274843133452744,0.29401720963868155,0.1213996464682275,0.12192485497857365
206,0.32144263427951786,0.32144263427951786,0.12261137853833465,0.1212760714629955
207,0.2696519677090769,0.2696519677090769,0.123121303839748,0.12386633823107265
208,0.2706998801411309,0.2706998801411309,0.12275580006687628,0.12403842734035304
209,0.2610693392309681,0.2610693392309681,0.12537226282303573,0.12447543674630895
210,0.2831652555289816,0.2831652555289816,0.12738992460706755,0.12763444631012574
211,0.2833753631621069,0.2833753631621069,0.12696149119839742,0.12477266766046073
212,0.2819504553294037,0.2804007744604091,0.13097862506603455,0.12763035824981014
213,0.3293655834087569,0.3293655834087569,0.13053563046128702,0.12837259617833072
214,0.28214551581128844,0.28214551581128844,0.13040851551469948,0.12960261243470447
215,0.2666018602444181,0.2666018602444181,0.13382533616681402,0.13208997162487118
216,0.32435931387049033,0.32435931387049033,0.1340600923111249,0.13278694333838015
217,0.2925689170795612,0.2925689170795612,0.13470445512272833,0.13495289796794024
218,0.28982903376387514,0.28982903376387514,0.13692765152982872,0.1363655957639142
219,0.32465693772970394,0.32465693772970394,0.1391904434999513,0.13483602502748665
220,0.28835162659822045,0.28835162659822045,0.13998245828975986,0.1351608666073156
221,0.2719791873749323,0.2719791873749323,0.1427192143778773,0.1392787354456549
222,0.3306658461931999,0.3306658461931999,0.13977269184795688,0.13718535482832914
223,0.3055227375379765,0.3063975565101848,0.14304968857659298,0.14255526051278805
224,0.29123537219682755,0.29123537219682755,0.14439409415810264,0.13965001194726326
