perplexity,aucrnx_chain,aucrnx_normal,kl_chain_normal,kl_normal_chain,kl_sum,running_time_chain,running_time_normal
1,0.46214156102371506,0.3525825805619494,0.10986564851407837,0.12098531270630375,0.11542548061019106,0.4672515392303467,0.41381168365478516
2,0.5189285883217333,0.498110398526121,0.10978274038869576,0.10171517310837597,0.10574895674853586,0.3680446147918701,0.35706067085266113
3,0.5339391517492413,0.5004051696980024,0.15262021068727447,0.1146345875886142,0.13362739913794433,0.3513209819793701,0.34822583198547363
4,0.541621117435783,0.5320703513801659,0.06466741579098909,0.06701865671314114,0.06584303625206511,0.3184974193572998,0.34030938148498535
5,0.545249084945789,0.5359358849987417,0.13367145172117184,0.10752072044288513,0.12059608608202849,0.33826303482055664,0.33022642135620117
6,0.552710133031693,0.5434482891694704,0.06800541785575026,0.06307787938726106,0.06554164862150566,0.3062615394592285,0.3308546543121338
7,0.5433360355563204,0.5486464509653836,0.07484949976209859,0.07554585422530127,0.07519767699369993,0.3137047290802002,0.3326711654663086
8,0.5503847572765087,0.5441555228020696,0.057376090694492385,0.06038213510841891,0.058879112901455644,0.3237180709838867,0.420534610748291
9,0.5378566255301014,0.5364240008190648,0.09391282454740107,0.09696446499736466,0.09543864477238287,0.32460808753967285,0.3561098575592041
10,0.5489920616660863,0.5489920616660863,0.0,0.0,0.0,0.3641018867492676,0.3641018867492676
11,0.5414230018756853,0.5448151944040651,0.1237117407222478,0.11504735833111984,0.11937954952668382,0.32453155517578125,0.3489842414855957
12,0.5457103584869802,0.5450523857490014,0.09902820587028895,0.09042474216971125,0.09472647402000009,0.32281947135925293,0.3518390655517578
13,0.5443521685733078,0.5597045524071763,0.07719724427689138,0.08330173628328284,0.08024949028008711,0.35384035110473633,0.3470780849456787
14,0.5421048260876394,0.536905338821769,0.10578680493389916,0.11092593768654746,0.10835637131022331,0.3513965606689453,0.3456110954284668
15,0.5412474435791672,0.5536701057392086,0.10651118920703284,0.09605790200729661,0.10128454560716472,0.30914807319641113,0.40711283683776855
16,0.5346478992090141,0.5500765346593817,0.07377092026461166,0.0757700793329733,0.07477049979879248,0.31665945053100586,0.3663787841796875
17,0.5447234205640604,0.5390563273098128,0.10149798375366431,0.09059175789587612,0.09604487082477021,0.32468342781066895,0.35608577728271484
18,0.5452699608062537,0.5169076332426472,0.13696710421918404,0.11839704964266029,0.12768207693092215,0.328946590423584,0.37638401985168457
19,0.5446662472110935,0.5390492065218359,0.09768597883732683,0.09609726878241451,0.09689162380987067,0.3622312545776367,0.39572954177856445
20,0.5413076358284765,0.5393710630724088,0.09915427049343778,0.0935119785021198,0.09633312449777878,0.3564465045928955,0.3891608715057373
21,0.5464667480410126,0.5445479958878462,0.06595858479012891,0.06351954428156253,0.06473906453584571,0.3591957092285156,0.37020063400268555
22,0.5443346644130972,0.532366228344684,0.07738475600308731,0.07560931108494598,0.07649703354401664,0.3246948719024658,0.3710448741912842
23,0.5483881895540207,0.5199818950484161,0.13981689941675826,0.11902302983124381,0.12941996462400104,0.33429527282714844,0.3715965747833252
