perplexity,chain,chain_earlystop,normal,normal_earlystop
1,0.21546363830566406,0.14183449745178223,0.19004106521606445,0.12242293357849121
2,0.16662168502807617,0.13664627075195312,0.15788817405700684,0.18430638313293457
3,0.16178274154663086,0.14502787590026855,0.19138860702514648,0.1265418529510498
4,0.16016149520874023,0.036071062088012695,0.15031027793884277,0.14192843437194824
5,0.151414155960083,0.035117149353027344,0.1452333927154541,0.0884096622467041
6,0.14437603950500488,0.024259090423583984,0.14904546737670898,0.0772862434387207
7,0.15618681907653809,0.05274677276611328,0.14926934242248535,0.10368776321411133
8,0.14172720909118652,0.052953243255615234,0.147369384765625,0.11087942123413086
9,0.1369006633758545,0.03058767318725586,0.14657974243164062,0.07469820976257324
10,0.14509844779968262,0.0,0.14509844779968262,0.1200408935546875
11,0.14023685455322266,0.025434494018554688,0.148606538772583,0.07694625854492188
12,0.1403200626373291,0.05950617790222168,0.14782094955444336,0.0758202075958252
13,0.13991141319274902,0.026304006576538086,0.146470308303833,0.10610532760620117
14,0.14353394508361816,0.021381378173828125,0.15120291709899902,0.11021304130554199
15,0.15108227729797363,0.026660919189453125,0.15666413307189941,0.08239483833312988
16,0.1515946388244629,0.018080472946166992,0.15518569946289062,0.07605195045471191
17,0.15274310111999512,0.03838229179382324,0.15899968147277832,0.08436846733093262
18,0.15645432472229004,0.02622818946838379,0.16882729530334473,0.08792757987976074
19,0.17729711532592773,0.02986931800842285,0.16777253150939941,0.09037494659423828
20,0.17544078826904297,0.03155970573425293,0.16563010215759277,0.11003684997558594
21,0.17398452758789062,0.024935245513916016,0.17125797271728516,0.10306835174560547
22,0.20117759704589844,0.029831409454345703,0.1829209327697754,0.07970452308654785
23,0.19888758659362793,0.02674698829650879,0.1737375259399414,0.08988094329833984
24,0.17809176445007324,0.030658483505249023,0.17908859252929688,0.10152339935302734
25,0.1681375503540039,0.03622174263000488,0.18698525428771973,0.09446096420288086
26,0.1785295009613037,0.040721893310546875,0.18077731132507324,0.09588050842285156
27,0.19716143608093262,0.040897369384765625,0.17724609375,0.09650349617004395
28,0.18759512901306152,0.02704334259033203,0.19295763969421387,0.07695817947387695
29,0.17101168632507324,0.03776955604553223,0.18331336975097656,0.09949111938476562
30,0.16691994667053223,0.04081416130065918,0.17916631698608398,0.08429479598999023
31,0.16632699966430664,0.040059566497802734,0.18725275993347168,0.0786280632019043
32,0.16744613647460938,0.03863859176635742,0.1936626434326172,0.08216738700866699
33,0.17218518257141113,0.03975367546081543,0.23975777626037598,0.08773636817932129
