perplexity,aucrnx_chain,aucrnx_normal,kl_chain_normal,kl_normal_chain,kl_sum,running_time_chain,running_time_normal
1,0.4394107889883102,0.2575669634456978,1.1935100069630968,1.1158402906297615,1.154675148796429,8.663623809814453,9.865355014801025
2,0.4845840147711294,0.4198203622773667,0.48252050310434186,0.4984223685687742,0.49047143583655806,6.827159643173218,6.003235578536987
3,0.5015365009033016,0.4518564279625891,0.34896908237882757,0.3679849503234251,0.35847701635112633,6.364861249923706,5.535478591918945
4,0.5099402331539156,0.45427247217997463,0.3247152282784493,0.3602859498294277,0.3425005890539385,5.874150991439819,5.358423471450806
5,0.5138772296237825,0.47969809817960096,0.2652125107616859,0.29117327779335855,0.27819289427752225,5.909243583679199,5.337053060531616
6,0.5138410510781444,0.48606894768086784,0.25969454652910806,0.28273248754317404,0.27121351703614105,5.538869380950928,5.156113386154175
7,0.5158272350865607,0.4887136988688294,0.24091545696996605,0.254211160148218,0.24756330855909203,5.439407110214233,5.030659914016724
8,0.5166889217482067,0.48767570076258643,0.23734731822348012,0.26014760293400674,0.24874746057874342,5.292576313018799,5.078177452087402
9,0.5168305550779793,0.4931850327573278,0.23518312483579976,0.25300069802726477,0.24409191143153225,5.4189324378967285,4.951876401901245
10,0.5170847036908738,0.4903826996949007,0.21792878133718904,0.2402444341853543,0.22908660776127165,5.262325048446655,4.9563562870025635
11,0.518136343464736,0.49205645122822944,0.22548144837292905,0.23753404720713397,0.23150774779003153,5.117214679718018,4.862874746322632
12,0.5161311643688712,0.49692408662102966,0.192017160141901,0.21160839504040233,0.20181277759115168,5.1174538135528564,4.815834999084473
13,0.5156128717481069,0.49454799840819763,0.2009707225156069,0.2183923145618062,0.20968151853870654,5.25265097618103,4.8639466762542725
14,0.5151624875941128,0.5033535316979098,0.17106865695411844,0.19257742743402526,0.18182304219407186,5.2466113567352295,4.892160415649414
15,0.5158779562820421,0.5038112699047997,0.16053908364886163,0.17322687787550492,0.16688298076218328,5.236462593078613,4.773906946182251
16,0.5133409883883026,0.5002703935709051,0.17117624360293066,0.18645167970550824,0.17881396165421945,4.957974910736084,4.687513589859009
17,0.5132607578503928,0.5042285776990472,0.13483426298003287,0.1519385816590951,0.143386422319564,4.960961580276489,4.668798208236694
18,0.5119466562944613,0.5008679581454094,0.16529519339654059,0.18408564076134803,0.1746904170789443,4.97595477104187,4.657861948013306
19,0.5117759881726854,0.4997445346323769,0.15547225453691127,0.17434414831021225,0.16490820142356177,5.12801718711853,4.653449535369873
20,0.5113382390713402,0.4977238633174496,0.14274773185273407,0.15841745128356607,0.15058259156815007,4.969852685928345,4.713341951370239
