perplexity,chain,chain_earlystop,normal,normal_earlystop
1,0.651975154876709,0.6660997867584229,0.5866773128509521,0.5951695442199707
2,0.5766687393188477,0.5868556499481201,0.506056547164917,0.5525686740875244
3,0.5461564064025879,0.5293607711791992,0.49885010719299316,0.5255477428436279
4,0.5509204864501953,0.5674138069152832,0.48647189140319824,0.531834602355957
5,0.563849925994873,0.557450532913208,0.49220705032348633,0.5312647819519043
6,0.5494544506072998,0.4117858409881592,0.494673490524292,0.528022050857544
7,0.5617828369140625,0.28066158294677734,0.4937608242034912,0.4549117088317871
8,0.5531125068664551,0.36010003089904785,0.4992403984069824,0.5433065891265869
9,0.5459496974945068,0.4287374019622803,0.49848413467407227,0.3923056125640869
10,0.5386288166046143,0.5031068325042725,0.49322032928466797,0.33908557891845703
11,0.5158183574676514,0.27387475967407227,0.5040028095245361,0.5216741561889648
12,0.5466122627258301,0.12448000907897949,0.49648571014404297,0.5000696182250977
13,0.5160362720489502,0.11301326751708984,0.4951159954071045,0.41022467613220215
14,0.5233266353607178,0.3047220706939697,0.49859619140625,0.38186120986938477
15,0.531031608581543,0.11127471923828125,0.49832797050476074,0.411379337310791
16,0.525414228439331,0.10241007804870605,0.5088505744934082,0.3401341438293457
17,0.5312004089355469,0.06964468955993652,0.5062413215637207,0.36890196800231934
18,0.548382043838501,0.09508848190307617,0.5595507621765137,0.3604109287261963
19,0.5267958641052246,0.08601617813110352,0.5498762130737305,0.26973772048950195
20,0.5421693325042725,0.06591176986694336,0.5189886093139648,0.40183258056640625
21,0.5427186489105225,0.07136249542236328,0.5600619316101074,0.26786112785339355
22,0.5416865348815918,0.058526039123535156,0.5270943641662598,0.4502899646759033
23,0.5571551322937012,0.07048845291137695,0.5754599571228027,0.2600436210632324
24,0.549776554107666,0.0596311092376709,0.5676007270812988,0.28118228912353516
25,0.5519888401031494,0.05398678779602051,0.5323724746704102,0.28945088386535645
26,0.5624995231628418,0.060042381286621094,0.5537796020507812,0.24585318565368652
27,0.5786776542663574,0.06128883361816406,0.560924768447876,0.23373866081237793
28,0.6029293537139893,0.07299399375915527,0.5976243019104004,0.2752249240875244
29,0.5662376880645752,0.08583617210388184,0.5551769733428955,0.26529359817504883
30,0.6221404075622559,0.0,0.6221404075622559,0.23257803916931152
31,0.6236169338226318,0.06824398040771484,0.5959937572479248,0.24782705307006836
32,0.6321115493774414,0.06975626945495605,0.6420836448669434,0.2494039535522461
33,0.6288490295410156,0.07260990142822266,0.6375827789306641,0.29662394523620605
34,0.608924388885498,0.06957817077636719,0.6341702938079834,0.34787440299987793
35,0.6526780128479004,0.07494449615478516,0.5939936637878418,0.48856019973754883
36,0.6471121311187744,0.07737612724304199,0.6427299976348877,0.4824995994567871
37,0.6622428894042969,0.07112360000610352,0.602719783782959,0.42659497261047363
38,0.6563992500305176,0.07217168807983398,0.676903247833252,0.31284022331237793
39,0.6711571216583252,0.06348299980163574,0.634408712387085,0.3278069496154785
40,0.663982629776001,0.08525824546813965,0.6468751430511475,0.3749661445617676
41,0.6754226684570312,0.06702351570129395,0.6397008895874023,0.38193392753601074
42,0.6557917594909668,0.07392430305480957,0.6774442195892334,0.327392578125
43,0.6782474517822266,0.08409762382507324,0.641716718673706,0.303699254989624
44,0.6703596115112305,0.08022069931030273,0.680549144744873,0.31767892837524414
45,0.6790981292724609,0.07882165908813477,0.6747541427612305,0.5174093246459961
46,0.6612451076507568,0.0815424919128418,0.6724491119384766,0.35851025581359863
47,0.6762306690216064,0.07351326942443848,0.6728417873382568,0.3599116802215576
48,0.6861584186553955,0.0765078067779541,0.6712520122528076,0.3724536895751953
49,0.6790041923522949,0.07374286651611328,0.7108657360076904,0.3013463020324707
50,0.6885573863983154,0.08357906341552734,0.6737780570983887,0.4082813262939453
