perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,1.6583447314015807,2.4872562840350123,2.0728005077182967
2,1.1575640471608746,1.281169475427005,1.2193667612939398
3,0.9039542135794119,0.9515220794861856,0.9277381465327987
4,0.734364744140924,0.7803460732659192,0.7573554087034216
5,0.6221374050347721,0.6570951003359395,0.6396162526853558
6,0.5679176586426757,0.5991407624559837,0.5835292105493297
7,0.5207861781495964,0.5463168915687566,0.5335515348591765
8,0.5032342500385741,0.5460750911589191,0.5246546705987466
9,0.41249049145432026,0.46638586002799337,0.43943817574115684
10,0.4318952823427148,0.4594071903616189,0.44565123635216686
11,0.440064974973888,0.4628406852593366,0.4514528301166123
12,0.3800050721350107,0.40982890558663776,0.39491698886082427
13,0.3566384957657689,0.3565702838577294,0.35660438981174913
14,0.40450157121941344,0.4466399142787778,0.4255707427490956
15,0.2731361598184549,0.27086588932623634,0.27200102457234565
16,0.35570098784921816,0.37923005464949533,0.3674655212493567
17,0.297021178929451,0.30863700887252066,0.30282909390098584
18,0.2925011476956334,0.31086614794800893,0.30168364782182117
19,0.35289574445011546,0.3577075550067815,0.35530164972844847
20,0.0,0.0,0.0
21,0.34251836264667346,0.3461317126351754,0.3443250376409244
22,0.23637568714658302,0.23251060154425468,0.23444314434541885
23,0.29201427377999234,0.2899215043789472,0.2909678890794698
24,0.30306576907965466,0.29737448514136977,0.3002201271105122
25,0.289177476021093,0.3032508321593139,0.29621415409020346
26,0.3519554197113945,0.340722910974922,0.34633916534315823
27,0.33922503987015307,0.33983690798689103,0.33953097392852205
28,0.34702696485756834,0.3677676171372779,0.3573972909974231
29,0.3726721812865847,0.36014612718277117,0.3664091542346779
30,0.3224755433438182,0.3179461159126248,0.3202108296282215
31,0.27758716039934767,0.2711884998396565,0.2743878301195021
32,0.3361449710295202,0.33189036338217787,0.334017667205849
33,0.3199624491501534,0.3017645845547149,0.3108635168524342
34,0.37454709119933705,0.3889952118373462,0.3817711515183416
35,0.30127850402287315,0.2930845991925217,0.29718155160769744
36,0.3874332737453521,0.37038950658792713,0.3789113901666396
37,0.359102718750586,0.3676704579583747,0.36338658835448034
38,0.32979885386921803,0.3499585836558858,0.33987871876255193
39,0.4041615584836452,0.39662650118039294,0.4003940298320191
40,0.3786307021711607,0.35805324775168024,0.36834197496142046
41,0.4091047987242138,0.40033529269724577,0.4047200457107298
42,0.35535401187298726,0.3480839477328864,0.35171897980293687
43,0.3766447162628731,0.39685272307701,0.3867487196699415
44,0.34342434583671005,0.33958932765378386,0.34150683674524696
45,0.4055341499759571,0.3920367391664331,0.39878544457119514
46,0.4244277196206886,0.4013741186275267,0.41290091912410765
47,0.4359058141466994,0.41019720290043704,0.4230515085235682
48,0.40464559173682607,0.3923509423939213,0.3984982670653737
49,0.3587049331763733,0.3432825230962351,0.3509937281363042
50,0.3699424273571391,0.3581754617955113,0.3640589445763252
51,0.4205528124155168,0.42160819322633325,0.421080502820925
52,0.3808972891793105,0.3650039932544034,0.37295064121685695
53,0.409408567009716,0.3923969284905572,0.40090274775013657
54,0.42239836432196887,0.398071430292708,0.4102348973073384
55,0.3407025022423439,0.3315550407946745,0.3361287715185092
56,0.42459961593654316,0.39824457671902286,0.41142209632778304
57,0.38625813624786864,0.37323050073096775,0.3797443184894182
58,0.4080251355114427,0.3779467832633252,0.39298595938738395
59,0.40575211457089666,0.4006237234050191,0.4031879189879579
60,0.36484143248876455,0.3526887317483055,0.35876508211853503
