perplexity,normal,normal_earlystop,chain,chain_earlystop
1,2.0776430768587595,2.0618911029674165,1.6532451079670083,1.478874554763971
2,0.6928364333862608,0.7065568658333612,0.6797680541758007,0.6184517387456963
3,0.3561934972674496,0.3625646228785133,0.3360321717570349,0.4181979224422808
4,0.2355575601750501,0.23133262866085724,0.2349374618685845,0.16862643070093605
5,0.12096202995847095,0.13107252106514922,0.1425759568869709,0.1218837198736908
6,0.07753703850625163,0.07415156703953593,0.06914205747697773,0.09714179954282348
7,0.052894345627962636,0.05619034600154346,0.045642918783351964,0.040661336083750235
8,0.03436424394499594,0.042311677422426176,0.0226628767081168,0.027150063586782104
9,0.0164857943717967,0.0181842461186794,0.019886430129067437,0.024453991603130096
10,0.0,0.0,0.0,0.0
11,0.014708417661805643,0.01658692999068105,0.01024978559526727,0.014214872897529403
12,0.03215604252192149,0.11291966915868346,0.02527929245597656,0.02095906976426905
13,0.03269190721038921,0.02975014223401531,0.028142391113718808,0.036565912961183715
14,0.05295566399029877,0.047725204048561384,0.04031687588500898,0.04068160491697667
15,0.0603830104973514,0.05598394997899897,0.06250831687039178,0.04686348452045711
16,0.07485152537438741,0.05744280340690721,0.08136083316976693,0.06769373809125061
17,0.10172253609775396,0.07752343827113478,0.10587879614651437,0.062049588980173924
18,0.11788418531576958,0.11551524701333063,0.12067899708499324,0.09390453014136192
19,0.14933614127792855,0.10518962537822532,0.14934787338596728,0.09918991824418932
20,0.14584879596919867,0.14877014688597218,0.172885852870715,0.11008197842745557
21,0.1907170354554428,0.17593884070913465,0.19892812561633652,0.13101409735910186
22,0.2189254343646289,0.1760569640941157,0.22079702239463891,0.14381056341307322
23,0.2508534134202437,0.21029779840422924,0.2369381135930831,0.14891731988762233
24,0.24661084802292155,0.2517569702769346,0.26084396080208616,0.1628255443625296
25,0.27090200593765634,0.2629060506433172,0.28359241575761385,0.1728608848309811
26,0.2917681349809001,0.3021286945640287,0.30878746367807297,0.21262917314662425
27,0.32974233162041844,0.3096307981235581,0.3350794659315389,0.253259995316953
28,0.34882181026223685,0.3412565530655433,0.3537273018399563,0.2288225981306096
29,0.36975328441955146,0.38974796293404895,0.3775208047428524,0.2874195936531069
30,0.40131777364665466,0.3726104976592709,0.40594770593794144,0.3479028603513619
31,0.4122331991868488,0.4216206714970987,0.4300457262397121,0.3858494257808843
32,0.4629247204131268,0.4469904884855352,0.4525871545562108,0.3981580975614002
33,0.4400145549993136,0.4288890726986117,0.4767212867001112,0.4357608027075988
