perplexity,normal,normal_earlystop,chain,chain_earlystop
1,2.168301607672521,2.1070289259295882,1.5519883532220624,1.35563115077995
2,1.0327790212643857,1.052859775450385,0.7883131029386168,0.6718283895672823
3,0.7155863157547527,0.7856486201410744,0.5662194771699413,0.4564403149977258
4,0.4247520579343021,0.4483430331554396,0.404907103223916,0.32737636372007395
5,0.3851325781169248,0.4641369919023041,0.3814862950040687,0.2608410310210574
6,0.29661668101470884,0.30633299378330986,0.2895000893080978,0.21624882715788654
7,0.2572701829951568,0.2695210148993926,0.2721781854388073,0.19367923675761625
8,0.24091362192531535,0.2816754087680568,0.2212922042599268,0.15700629902208593
9,0.2239013013566584,0.31767467181497183,0.20271842054789896,0.14614707490976206
10,0.15133272988368673,0.2639383375694794,0.15971806996973967,0.13684749986963274
11,0.18552772161011533,0.2439643871100621,0.14076124632638082,0.1255975976001552
12,0.15491393698985073,0.18725236135923426,0.13447659020592073,0.12654378856927326
13,0.09199907166998686,0.23448643468268054,0.12169668623345453,0.12476469636548125
14,0.13299280073499706,0.19751201300861831,0.10964381959295684,0.11708246357904832
15,0.11532920607152347,0.2382518629040538,0.10410014032630416,0.10599598015242456
16,0.0865232131052709,0.15672132368623753,0.08114056115709115,0.09860442962080862
17,0.11560161768477055,0.1947027441746716,0.07615938135694092,0.10387328533979534
18,0.16937751926018602,0.2408189121434719,0.07336957100469292,0.10176384155080996
19,0.0763942332327957,0.16134888959259736,0.0756095793440732,0.09729085872129853
20,0.0,0.0,0.0,0.0
21,0.07181299003508201,0.14201612692933024,0.07784642888611826,0.10548572202000103
22,0.09717580834811487,0.20871284227116446,0.07816226860147453,0.10362615324867397
23,0.15991967783624933,0.22904485451590295,0.07351790331711244,0.1043409597238152
24,0.11888445151518742,0.1871422361792294,0.07331222577445237,0.10117212791857348
25,0.184917900074823,0.21595200939396467,0.07450732180563083,0.10661330054028607
26,0.11882540267454575,0.29927109599393265,0.08044920887202782,0.10431120996385307
27,0.1220166003561616,0.17924863149638418,0.08369695013854285,0.11465793292545992
28,0.10772521722513664,0.19155569358222224,0.0882044702868588,0.11824257359032568
29,0.14300566178223734,0.18539878094477832,0.09554155815059978,0.11746944691520675
30,0.09169027052131244,0.12623323993229468,0.09943072706464484,0.11674528429550594
31,0.16514145996647162,0.23411943903837415,0.097497995872517,0.12489787426962234
32,0.15164676075183775,0.21722894849387536,0.10825349709850303,0.1238174851603038
33,0.17143892673731745,0.19292015864544845,0.10899692944717083,0.12578299226255152
34,0.1447215064384022,0.23562881837601185,0.11177824006472396,0.12983106002571132
35,0.16826644562825466,0.23406757757934024,0.11491465774098955,0.1344963547167724
36,0.16967713159327807,0.1960689516080536,0.1176511797509352,0.13792277661140265
37,0.2268855736900701,0.31783196508678113,0.12167131901414033,0.14138135880740332
38,0.18316165047260846,0.2472525370389025,0.1342951231250161,0.15110489855658088
39,0.20293546780665586,0.241830777131108,0.1358843460511811,0.16509324484590882
40,0.2513188839775041,0.372644439614451,0.14090750469783475,0.1624358410057097
41,0.1438220672047334,0.2440148552947615,0.14228906065615834,0.18738072221006716
42,0.1867985265266874,0.26405315377434063,0.14770254420281614,0.1829874113975
43,0.183109699478862,0.25475060229193114,0.15236543974496006,0.1603617629646082
44,0.243792194250966,0.3382756605490964,0.15803853359688844,0.20298343503959604
45,0.2203407382381582,0.2962166093382432,0.1622567210401792,0.16842966835239334
46,0.2130684071829172,0.3990959966736896,0.16650529780484774,0.18157961277167092
47,0.1849417730740998,0.2565409619476189,0.1752897027521949,0.21382601152642675
48,0.3337381488103112,0.34484738598173675,0.18349303257730096,0.21732038175659305
49,0.2990383530294607,0.368518195266116,0.18474496669768206,0.21252536037092032
50,0.20291470323621544,0.3372228714383614,0.193569210037441,0.21418571034890974
51,0.2441153583330749,0.3311216762238726,0.19524986950878465,0.2285527243369812
52,0.19723550111328625,0.3063337097440517,0.1982341746415293,0.2297950976061737
53,0.3080684110712057,0.3760519296647869,0.20400981749458505,0.2413038741429301
54,0.21349327236960786,0.3367548668516315,0.204774332510984,0.2443148531665966
55,0.23706545085479125,0.3109801487480064,0.2128107031335888,0.2476168710555425
56,0.2877335946930612,0.3313969789510638,0.2222519493310732,0.2516252539452561
57,0.2380856718477905,0.3092093937563296,0.22687076406672926,0.2602672326998223
58,0.2647110625679229,0.3134538448117231,0.23493049163450186,0.26317583527698185
59,0.2798061894200651,0.3147666270170801,0.23969602577230506,0.27717345892321743
60,0.2765929208374019,0.36176613300364396,0.2430288216227127,0.28290041437631674
61,0.2916760420539626,0.41575111458437264,0.24884656051222045,0.2732305954068521
62,0.2861555165191723,0.3744651906948643,0.2515158981634603,0.28940245209881865
63,0.2719871704237817,0.3727672301031984,0.262724155206466,0.28789375908060505
64,0.3143946297417148,0.3635014095395799,0.2563847697283653,0.2996665050866083
65,0.30445544303458105,0.32181014838876243,0.2677584239382893,0.3082218825098933
