perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,1.2216950779034887,2.1683016076725212,1.694998342788005
2,0.8247782733934935,1.0327790212643855,0.9287786473289394
3,0.5996025121440695,0.7155863157547527,0.6575944139494111
4,0.4175293391453108,0.42475205793430204,0.4211406985398064
5,0.35447852158200066,0.3851325781169248,0.36980554984946273
6,0.29538155389258747,0.29661668101470884,0.29599911745364815
7,0.25042995290454384,0.2572701829951568,0.2538500679498503
8,0.23733305655631678,0.24091362192531537,0.23912333924081608
9,0.2150799379410194,0.22390130135665842,0.21949061964883892
10,0.15094583064391842,0.15133272988368673,0.15113928026380258
11,0.17596138538191697,0.18552772161011533,0.18074455349601615
12,0.15211335602748635,0.15491393698985073,0.15351364650866856
13,0.09695478116837486,0.09199907166998686,0.09447692641918086
14,0.13911799498409305,0.13299280073499703,0.13605539785954504
15,0.11134547049459931,0.11532920607152347,0.11333733828306139
16,0.09311180448211562,0.0865232131052709,0.08981750879369327
17,0.10936607498283177,0.11560161768477055,0.11248384633380115
18,0.15668657165760919,0.16937751926018602,0.1630320454588976
19,0.08102188437833385,0.0763942332327957,0.07870805880556478
20,0.0,0.0,0.0
21,0.07829036765859487,0.07181299003508201,0.07505167884683844
22,0.10514825177799064,0.09717580834811489,0.10116203006305277
23,0.149276431968978,0.15991967783624933,0.15459805490261366
24,0.10713793306419284,0.11888445151518742,0.11301119228969013
25,0.1632947382808497,0.184917900074823,0.17410631917783637
26,0.12483194034082401,0.11882540267454576,0.1218286715076849
27,0.12686617781438597,0.12201660035616159,0.12444138908527377
28,0.11761039065359684,0.10772521722513663,0.11266780393936673
29,0.13752409845325322,0.14300566178223734,0.1402648801177453
30,0.10111821149768199,0.09169027052131243,0.09640424100949721
31,0.15003793934132975,0.16514145996647162,0.15758969965390068
32,0.1532986431215737,0.15164676075183775,0.15247270193670573
33,0.16617171962352179,0.17143892673731745,0.16880532318041963
34,0.14663282976231887,0.1447215064384022,0.14567716810036052
35,0.17251275715875827,0.16826644562825463,0.17038960139350645
36,0.1696037168943436,0.16967713159327807,0.16964042424381082
37,0.2195826926549257,0.22688557369007006,0.22323413317249788
38,0.18309270493608065,0.18316165047260852,0.18312717770434458
39,0.20731870635378197,0.20293546780665583,0.2051270870802189
40,0.21008826421918314,0.20917497310759525,0.2096316186633892
41,0.16156127536365827,0.1438220672047334,0.15269167128419583
42,0.17492774653238774,0.1867985265266874,0.18086313652953756
43,0.19054500837076377,0.18310969947886196,0.18682735392481287
44,0.21985481133813795,0.24379219425096602,0.231823502794552
45,0.22571858283643262,0.2203407382381582,0.2230296605372954
46,0.22757621600190947,0.21306840718291722,0.22032231159241333
47,0.1976840948282479,0.1849417730740998,0.19131293395117385
48,0.3225642604849137,0.33373814881031116,0.32815120464761244
49,0.2923440651520596,0.2990383530294607,0.29569120909076013
50,0.21434122601976935,0.20291470323621544,0.20862796462799238
51,0.24673092012068984,0.24411535833307493,0.2454231392268824
52,0.20712562706236068,0.19723550111328622,0.20218056408782345
53,0.30383731110382073,0.3080684110712057,0.3059528610875132
54,0.22277731003453244,0.21349327236960783,0.21813529120207015
55,0.23975279437160896,0.23706545085479125,0.2384091226132001
56,0.2884911545370393,0.2877335946930612,0.28811237461505024
57,0.24271472889826817,0.2380856718477905,0.24040020037302934
58,0.27413567438552205,0.2647110625679229,0.26942336847672244
59,0.30316550225968386,0.2798061894200651,0.29148584583987447
60,0.2924348796098778,0.2765929208374019,0.28451390022363987
61,0.2956903536940442,0.2916760420539626,0.2936831978740034
62,0.2880005539087265,0.2861555165191723,0.28707803521394937
63,0.28011464996335744,0.27198717042378173,0.2760509101935696
64,0.3203545261519378,0.3143946297417148,0.31737457794682633
65,0.30647196327403936,0.30445544303458105,0.3054637031543102
