perplexity,kl_Q_Qbase,kl_Qbase_Q,kl_sum
1,0.5666542791000554,1.4488357563381227,1.007745017719089
2,0.23839291914125624,0.3498703653500065,0.2941316422456314
3,0.08209228386209089,0.0971614930199392,0.08962688844101505
4,0.041213674522684,0.04816393496671349,0.044688804744698746
5,0.0,0.0,0.0
6,0.028540573338096183,0.026043350904504686,0.027291962121300434
7,0.048097433930615885,0.043183525718364674,0.04564047982449028
8,0.07818629061770092,0.07126325479078294,0.07472477270424194
9,0.09983104267431718,0.08864681187003992,0.09423892727217856
10,0.13107252106514922,0.10861646671616387,0.11984449389065654
11,0.14454070432587923,0.12078346847746335,0.1326620864016713
12,0.23986342885920786,0.24451101190084132,0.2421872203800246
13,0.20827509472978883,0.17603919390709627,0.19215714431844255
14,0.2589618104271436,0.22053138540614864,0.23974659791664613
15,0.27937869980070434,0.23185845234876318,0.25561857607473376
16,0.2901679686623708,0.2376218324576019,0.2638949005599864
17,0.33152949626247946,0.27343946172009304,0.3024844789912863
18,0.40382587184900287,0.33889943856416016,0.3713626552065815
19,0.3936081611827116,0.32339454305890714,0.35850135212080936
20,0.45527719994927696,0.3855745049860213,0.42042585246764913
21,0.5103647824946201,0.42524422818601393,0.46780450534031703
22,0.5198115632496809,0.4256565518833765,0.4727340575665287
23,0.5673029409040362,0.47379169029383356,0.5205473155989349
24,0.6231652416423727,0.5274718195016064,0.5753185305719896
25,0.6476422506352717,0.5460153700183947,0.5968288103268332
26,0.6995152108021399,0.5936474087926011,0.6465813097973705
27,0.720667003399732,0.6031248077931475,0.6618959055964397
28,0.7606898568527005,0.6447799668757797,0.7027349118642401
29,0.817095405088634,0.7039224939088922,0.7605089494987631
30,0.8086198864843883,0.6866248318387671,0.7476223591615777
31,0.8695795340333193,0.7451630262286776,0.8073712801309985
32,0.895918766912466,0.773949305605433,0.8349340362589495
33,0.8937253686181318,0.7503131396329563,0.822019254125544
