perplexity,normal,normal_earlystop,chain,chain_earlystop
1,2.722187005482356,2.7028233726137207,2.08281027737241,2.158355314582936
2,1.2927644046595168,1.3049280054207466,1.094038160807057,0.8147231501160002
3,0.8506918779810108,0.8364598639864946,0.7085053686948635,0.7298259753714119
4,0.6618099885005566,0.6491062989926131,0.5908633298123305,0.5735382933225193
5,0.454096456230821,0.455277199949277,0.513569378241049,0.4230394730328435
6,0.3958043104282228,0.3581483676082421,0.44218803230581777,0.2942478204852435
7,0.3376743558213524,0.33734052528190805,0.3491648001766081,0.2413502886212231
8,0.2281852487432891,0.215859510587958,0.24447404745565005,0.1755974972752676
9,0.20005188431664,0.19064277982444774,0.1714766921590969,0.13722880798660214
10,0.16096284529647448,0.16272093201271204,0.12384010698328103,0.11561063819427154
11,0.13501219748983515,0.15677152572518815,0.12243905898513292,0.08008595591109237
12,0.09955779415884032,0.1886087476611856,0.07813896393974823,0.10358869471807433
13,0.08630452750712228,0.08388299893145437,0.06074650111752375,0.056128374422828815
14,0.038035014549603466,0.045975341519833325,0.042630151810018974,0.07683507930789267
15,0.03130508971409801,0.04312166136867816,0.0337484262684708,0.05683793332670727
16,0.019106405369219343,0.04183492268057532,0.02065132438506689,0.020412023593851303
17,0.010003909339155041,0.024700649894541887,0.008518656894398105,0.014778826098710816
18,0.00750665474131155,0.009696586403600872,0.004550375679058164,0.012002010677364172
19,0.0036407158505837953,0.0105471022067385,0.002967483126262645,0.005799523128761858
20,0.0,0.0,0.0,0.0
21,0.007838368507143992,0.008066188607305609,0.00799571796499267,0.010638448681685508
22,0.013504005299131178,0.008075597531710313,0.010350744784224005,0.0092619467063906
23,0.021697450462902758,0.01400057957664412,0.016770649108738333,0.011904575197918418
24,0.020589541389396542,0.02427638536381214,0.024974964930777645,0.011652914993194406
25,0.028201287625987868,0.02637407063970671,0.03014485216777265,0.016485119471671042
26,0.0369834899701172,0.04101050703975628,0.03999299681785893,0.019999675265243832
27,0.05132900167910672,0.04572564207042607,0.04755876310062429,0.03850365257659002
28,0.060520481330482,0.057349934041229476,0.05948416630036664,0.03569768082466648
29,0.07050891864299008,0.08041336155172765,0.06951023975492424,0.055876200465547005
30,0.08534774105345906,0.07249193767229975,0.0845581995571457,0.06889543286826028
31,0.09103728185598572,0.0960980166321304,0.09400900757056976,0.08193210829341477
32,0.1192677969854988,0.11015768674484,0.10739030583494613,0.09700026160439518
33,0.10790805567073072,0.10402380425283443,0.11826519389619328,0.09250869185284427
