perplexity,auc_rnx,bic,cca_stress,kl_divergence,mds_isotonic,pearsonr,sammon_nlm
15,0.38057514998089415,2.740844708764001,80100.89061470292,1.2772032329056675,0.9136206708716936,0.33202421573115765,0.49038571685011356
16,0.38470330282633164,2.7827695651902955,77705.66536747191,1.2919510530203926,0.9010962081589693,0.3597968449166753,0.4856845668372708
17,0.3777170400766649,2.827864966109703,78066.4004437665,1.3082841453816743,0.9092838494250141,0.3319179847839913,0.5287374504615544
18,0.37249766116245886,2.8677322837579196,77686.2497518332,1.3220031961073604,0.9227417808504298,0.3131639837135327,0.5132327672576653
19,0.36844522866056256,2.759482400364028,84825.13290767618,1.2616636463119923,0.9301203713793051,0.2580402508611139,0.5022312547515052
20,0.3697926705212661,2.8334026875214247,80531.34183303556,1.2924091817922685,0.9249417279396783,0.3088736850393019,0.49833863823088975
21,0.3736325801773159,2.737769642339469,82809.46661190627,1.2383780511028684,0.9039400943807699,0.32106574165405993,0.47500042672271475
22,0.38144239237193234,2.6826584183078044,79355.44850518851,1.204607830988614,0.9075489138693219,0.34318883757935603,0.48052778494169746
23,0.36683856205133214,2.7037009833453576,82022.40102511499,1.2089145054089683,0.9174757304028474,0.30569107944728485,0.4812126882085001
24,0.3876770066662902,2.6295593425295323,72710.36026085616,1.1656290769026336,0.8756251630920256,0.4100626616603188,0.4694281854942549
25,0.3837767225937185,2.551609723384832,73927.10418441091,1.1204396592318613,0.8918102822831079,0.382040874245983,0.4774128064032563
26,0.3810950316363219,2.582688441348217,73525.72166695033,1.1297644101151316,0.8805495349388814,0.40121315775664784,0.47022664258798436
27,0.3778224090101414,2.6191062507571017,72253.68828909897,1.1417587067211517,0.873967256810139,0.4132731136010236,0.4734324673884852
28,0.3733589437736644,2.583783362978498,77267.25786757663,1.1178826547334275,0.8954324154271309,0.3643468933052799,0.4744318161914796
29,0.37538653155812923,2.6085903193971194,70236.60053971576,1.124071524844316,0.8906432755883197,0.39793934495852207,0.4755302786657729
30,0.37353135216236183,2.608793260735556,69941.50279318611,1.1179583874151122,0.8684163209830896,0.42378862596189604,0.47735654330245497
31,0.38904882440237887,2.485980574737556,67886.13625552453,1.05033743631769,0.8567303971257159,0.449023267299771,0.4703111462606993
32,0.3702878548613389,2.5979447657994865,72228.5942965959,1.1001049237502332,0.8971249319488434,0.3826911632242734,0.4875315012783373
33,0.37026747229283596,2.5853838867010515,67966.32499933898,1.0876098761025934,0.875472768680136,0.4243784821047973,0.4871140390796038
34,0.3686491294133607,2.5989933679655084,66580.21474651157,1.0882000086363997,0.8615979447946562,0.4483643161458353,0.4777404007776824
35,0.37867344077828863,2.52555087419567,64926.71580599118,1.0452641536530582,0.8542570577133591,0.463223121951996,0.47870650546079485
36,0.3675434169540324,2.511828503169575,69800.99793269254,1.0321883600415884,0.8894270393253327,0.3945623267909803,0.4958562805659803
37,0.3682980080620788,2.599570931971867,67962.66872852446,1.0698449663443126,0.865705477385112,0.4368015214955322,0.4844809483272056
38,0.371176672610893,2.5342740679326963,74367.43902250366,1.030981926226305,0.8929270454025239,0.36678518492523504,0.4727452108422894
39,0.37516542088307864,2.4615178278936183,66675.26650512713,0.9883891981083438,0.8606368237454198,0.445578010596023,0.47498608482149735
40,0.36044845531801845,2.515351124526235,73308.29179137808,1.0090912383262298,0.896154701350265,0.3610444728551589,0.478788608127786
41,0.37251994035407743,2.4862895092791524,69535.20609931786,0.9883458226042664,0.8662659377969776,0.4296051032855324,0.47149078616692774
42,0.3700262003362122,2.4287540332463164,66657.9620300824,0.9533634764894262,0.8534838065809863,0.4537313199646752,0.46849527373604427
43,0.3636391710948923,2.5197670855685796,69355.83373810374,0.9926553945521356,0.878147446385007,0.41112685984487907,0.4924248606290271
44,0.3697111456824862,2.481452665253031,64006.59032334108,0.9672835762959391,0.8466927541604102,0.4690011150579186,0.47271064845993993
45,0.37232315655506437,2.466409331589508,62543.748957046104,0.9535473013657554,0.8431842111824658,0.482238285322318,0.47905929675320996
46,0.36399655830970623,2.4917654914038128,72281.59691667931,0.9600107731744857,0.8785149831108773,0.39646956221437285,0.48458205537083276
47,0.3594529424960582,2.484361983996465,69866.45455466153,0.9500944113723895,0.8687929435579818,0.41758222402339396,0.47196918995633275
48,0.3667064517127265,2.4500248455437137,65491.566249856085,0.9267112340475917,0.8594517378812339,0.44694505398436674,0.4786281782988686
49,0.347667481759263,2.5923303349527522,68338.5277353547,0.9916493706536886,0.8683074680592229,0.4240721144906859,0.48172951208911735
50,0.3640626952482031,2.435720742372629,64380.86468604929,0.9071299662652049,0.845467571446679,0.46723433863816116,0.47474449374081074
51,0.3627816408563517,2.4399623650271005,65483.298577631314,0.9030361694940185,0.8545136813038064,0.4487111777936505,0.4785433628837941
52,0.3490390465445946,2.5387324734081163,63175.200787583984,0.9462066155861042,0.843981906312444,0.47394473382896407,0.48124183178759866
53,0.3531226259878163,2.525103136102751,65804.25409589113,0.9331773388349993,0.8622203354377778,0.4474355140163744,0.47892297758981917
54,0.3525082944727597,2.475954080207244,68123.55415244839,0.9023882027888237,0.872658341188998,0.41892668433888947,0.48730352438850655
55,0.37591203684932695,2.4090165485332404,61330.23695899018,0.8627048288533998,0.8328587508670245,0.500028596121487,0.46991411516514703
56,0.35669826186015907,2.530480726371475,62129.97586543315,0.9172223096740947,0.8508966008863487,0.4678984961624881,0.48853028074466764
57,0.36123964672207876,2.490886426186847,66482.9336878123,0.8912105514833585,0.8594081223975514,0.4335065372036477,0.4793602632484564
58,0.3684948183680892,2.4142318065857498,63336.564005793975,0.8466686335843878,0.8390531459766968,0.47755372622181325,0.47307608693839265
59,0.3574629734402691,2.5040392004579233,66743.69258015935,0.8853577224220524,0.8576651512329243,0.43164182058188955,0.4852512125214689
60,0.3491805160735265,2.526601498433844,62643.977784300456,0.8904242633115905,0.8505171136145314,0.4734568974729553,0.4861022124413852
61,0.3620063538101409,2.42155052538838,63483.42005430474,0.8316841686904362,0.8441984280641714,0.4658376109486595,0.47526952024991587
62,0.3587910320738223,2.449435565889031,60416.023600311666,0.8394120808423395,0.8336768246531684,0.496260876340128,0.47724883632025134
63,0.3578874604500658,2.453813885411472,60250.407142394004,0.835386632505138,0.832670294130985,0.4970565846469957,0.47622792807330333
64,0.3452496382049314,2.5612259940610085,60751.699122813574,0.882878078731484,0.8356792300795507,0.4890722297291832,0.48611103574021464
