perplexity,auc_rnx,bic,cca_stress,kl_divergence,mds_isotonic,pearsonr,sammon_nlm
1,0.2575669634456978,2.133378149434975,1391029.31740265,1.0646039679042478,0.9967971692816378,0.060558238931655274,0.23924227801561335
2,0.4198203622773667,2.164837058565517,1393934.930116171,1.078248315656279,0.9595080235358812,0.1220700367261461,0.21378432518651785
3,0.4518564279625891,2.199612599429594,1272622.808274121,1.093550979275078,0.9381967963983798,0.17234856613828686,0.20215313745822264
4,0.45427247217997463,2.2297428731876288,1420126.1065307362,1.1065310093408556,0.9496183586988585,0.09577304415336543,0.2169832289240044
5,0.47969809817960096,2.2137242675675344,1146095.434037832,1.0964365997175687,0.9195015716956756,0.22060137062031632,0.19646935897437412
6,0.48606894768086784,2.2354532610019504,1131554.5553000201,1.1052159896215368,0.9151216710944661,0.22644342274546822,0.19671962967440237
7,0.4887136988688294,2.1867895680834475,1095530.720628759,1.0787990363490456,0.9064881351299712,0.2408484137210411,0.19286808448475526
8,0.48767570076258643,2.2010275957735703,1116751.5201633272,1.0838329433808673,0.9073786119050947,0.2306495333672771,0.19407159110981154
9,0.4931850327573278,2.172324559327517,1097560.2714697975,1.067396318344601,0.9090422088138581,0.22877241629975034,0.19975051449809647
10,0.4903826996949007,2.176771670794875,1118784.2756576366,1.0675347672650404,0.911066328621986,0.22334755677244592,0.198550015524014
11,0.49205645122822944,2.1423764264546525,1118444.175917488,1.0482520382816893,0.9082812156751169,0.2281753051157794,0.19785241991616212
12,0.49692408662102966,2.092757868217605,1090409.5778424884,1.021357652349926,0.9086813282402834,0.23028929258866362,0.20226966466612398
13,0.49454799840819763,2.1061705050322144,1151722.450137649,1.0259788639439908,0.9093601408225824,0.2166686472529729,0.2028782131443793
14,0.5033535316979098,2.0788287428493586,1157919.6359423818,1.0102228760393233,0.8976457310194271,0.22224651630577358,0.19724943787812077
15,0.5038112699047997,2.048633498304672,1167094.9612735575,0.9930401469537401,0.905229002945846,0.20306429965591133,0.20454430376643845
16,0.5002703935709051,2.0437920920241783,1202465.6724689412,0.9885343370002537,0.9072532093504857,0.18811782897634183,0.20746535406334765
17,0.5042285776990472,2.0064346495499827,1138878.791831831,0.967770508949916,0.8987884447482803,0.22317582047959694,0.20020215173000563
18,0.5008679581454094,2.0059264756814232,1164487.765582105,0.9654313152023966,0.8970595348869824,0.21542958728798145,0.19936108049533063
19,0.4997445346323769,2.0080452661382067,1151730.5998050298,0.9644056036175487,0.8947761923097769,0.22077248412104292,0.19877718035261058
20,0.4977238633174496,1.9857742362150226,1164214.2212400774,0.9511849818427168,0.9020482169151088,0.2070519748567769,0.20672491711879024
21,0.49991041617276766,1.9610305355890794,1150325.4226306498,0.9367280247165055,0.8987579898468715,0.2171452204844676,0.20399884016385345
22,0.5061599807607999,1.9630383592580452,1079643.6412280537,0.9356468297377487,0.8775574674558756,0.26581883885853325,0.19461790014851377
23,0.4976349419130497,1.9415928726671818,1160652.8558401968,0.9228389796290773,0.8991793667875829,0.2111587671761259,0.20497605047097328
24,0.49827605291521876,1.9152906992226626,1141041.7316498214,0.907602786093578,0.8950460311962497,0.22059115250991163,0.2029517494250074
25,0.5033549434124546,1.9301338935600614,1074081.5767511812,0.9129392764490376,0.8777117498202085,0.26471140925702163,0.1988252132173375
26,0.5047117552411412,1.9095728515277202,1088591.2480116386,0.9005736486196273,0.8743837590229747,0.25683535763508053,0.1990398614026447
27,0.5002772185256062,1.9134766641239296,1088198.5686555011,0.9004404481044923,0.8773809756946205,0.25317083698009674,0.20110751649044764
28,0.5024978449934147,1.8845645801957114,1094227.2696595755,0.8838992993271435,0.8722817017006347,0.25860433100283,0.1974718548158951
29,0.500401417316951,1.882986308046197,1088755.4344662568,0.8810250564391466,0.8732183619735414,0.25990703650994773,0.20024631016659697
30,0.4960769039963643,1.884606955923243,1110829.6343049635,0.8797502735644298,0.8789590590936316,0.24349115992663767,0.20266277200661956
31,0.500638156532422,1.8899125248747621,1061207.2366787004,0.8803179512269497,0.8593612287349498,0.2829159267194247,0.1921425772268634
32,0.495578365281406,1.8739919071573614,1109026.9634677246,0.8702725355550096,0.8741965217327584,0.251080171169731,0.2003804744734282
33,0.4987516834118773,1.868057383862045,1118337.9864119315,0.8652201670941116,0.8665075647104227,0.2580181016430778,0.19657146562759376
34,0.49738134516251387,1.8708990029644113,1117159.5578865192,0.8645558698320551,0.8685547770572779,0.25415048890667735,0.19940952143173857
35,0.49738491893453946,1.8569102978561651,1140978.686394496,0.8554764104646922,0.8675228700228964,0.2536416671510774,0.19783086913100784
36,0.49597991154673565,1.8643981021582654,1086735.2621105467,0.8571352058025027,0.8612893861374756,0.27236659708361266,0.19141096737998553
37,0.4968900585656862,1.8365941889412836,1100447.1398588652,0.8411481423807721,0.863815787732846,0.2669015251267807,0.19670820435211672
38,0.49612449398810227,1.8323581896346428,1099708.8450183792,0.836945035914212,0.8597973869129946,0.27020766758720943,0.1932836173989963
39,0.4945007135750139,1.8074028551728671,1127552.4922214744,0.8223822618700845,0.8692772008555243,0.24887217596855316,0.1986847393685959
40,0.49151589108838406,1.8126399594951843,1134314.0001089415,0.8229157072180033,0.8707103694235164,0.2451242559746349,0.19890392665667664
41,0.4876098600964298,1.8067731533450377,1123459.4302028813,0.8178971973296902,0.8897312693407191,0.22943616121005936,0.20722672207720993
42,0.48558959981838906,1.7896595846314014,1100605.4393215568,0.8072553061596324,0.891219582665275,0.23105429390585025,0.21084609442101118
43,0.4869292651977742,1.7921436997582207,1122225.5698096207,0.8064122569098023,0.8895343450545908,0.23045302417112376,0.20897240327852729
44,0.4846681846202218,1.7874139886504872,1112384.5371424495,0.8019622945426959,0.8910781645337402,0.23047901601339826,0.2079698994634173
45,0.4811420557767599,1.7992297980240881,1136782.4210554338,0.8057850924162566,0.887383455014471,0.2302793795973589,0.20451164839688368
