perplexity,auc_rnx,bic,cca_stress,kl_divergence,mds_isotonic,pearsonr,sammon_nlm
1,0.3254591794557352,1.8201266923283628,99027.79320282025,0.9038487380657592,0.9611417072059162,0.1959535405131553,0.4663432995026433
2,0.3490927111275962,2.452684511125213,93291.87451299056,1.213913039365762,0.949299537274616,0.23297316728386908,0.46685858477248604
3,0.3574946345239323,2.74832343796655,92607.13901117575,1.3555178946880084,0.9467165821643192,0.22628280308555168,0.4788966545989017
4,0.36542855469245833,2.850972326626947,90168.17430381864,1.4006277309197848,0.9439961889143511,0.244776377560824,0.47765542279796513
5,0.36943606154331715,2.8881149040430296,89164.43868810133,1.412984411529404,0.9406739387817427,0.2528284110175253,0.4785205935809601
6,0.37113910547760803,2.894645664389058,88811.51798297038,1.410035183603996,0.9391764692870805,0.2546900711820389,0.47658122679210274
7,0.3725172708889025,2.8731114944597715,88789.10153407883,1.3930534905409304,0.9387640486693581,0.25204185124857853,0.4839478928982053
8,0.37350928936082567,2.8499447867698087,87694.11090050999,1.3752555285975268,0.9378313611534009,0.2621461115207608,0.48243360154833004
9,0.37710973261730885,2.8517783007635793,86379.2188012579,1.3699576774959898,0.9371115466625193,0.2680784783280538,0.48435781356806873
10,0.3710693309884234,2.8913479819626238,87131.23132710485,1.38352790999709,0.9411075191823277,0.25076655205663345,0.4923212907357802
11,0.37600795570253115,2.825856397329012,86823.527656431,1.3445675095818619,0.9351298042744469,0.26760712746759036,0.4856141718973351
12,0.37696682499175627,2.791850682615655,85903.44250861769,1.3213500441267612,0.9333575835910105,0.2757648707195212,0.4857364609508185
13,0.3720380811675628,2.790857592221174,85381.79768803657,1.3146388908310984,0.9336919760153974,0.2759499764733251,0.4875933219457882
14,0.3748998977138761,2.766137483867669,85473.47214986084,1.2960642285559238,0.9318464768185938,0.2776197493183037,0.4883916388906998
15,0.3726759409694386,2.757203412272084,84747.57381635364,1.2853825846597091,0.9358474189231235,0.26986051411955436,0.4952711835957118
16,0.37402410759828025,2.738039666098249,83891.51165280984,1.2695861034743694,0.9319623775512328,0.284894808081445,0.4906855602347893
17,0.37157437818026307,2.73174402177206,85390.76876910342,1.260223673212853,0.9343632987130502,0.271794626542765,0.4927188836336802
18,0.37457717099411,2.7091350137340373,84952.6383486498,1.2427045610954193,0.9310668964821818,0.279213049806422,0.4905080540025227
19,0.3730200341435538,2.693243389590989,84611.94072796432,1.228544140925473,0.9303386635725791,0.2818575218869183,0.4910368294154886
20,0.3736329981525198,2.6805828651794594,84332.56984261014,1.2159992706212859,0.9290856550962141,0.28499366537830145,0.48984772205066524
